datetime,consumption
0,241150.0
1,241150.0
2,241825.0
3,241825.0
4,241825.0
5,241825.0
6,241825.0
7,241825.0
8,241825.0
9,2012075.0
10,2012075.0
11,3107075.0
12,3107075.0
13,3107075.0
14,3107075.0
15,3107075.0
16,3107075.0
17,3107075.0
18,3107075.0
19,3107075.0
20,3107075.0
21,2012075.0
22,2012075.0
23,2012075.0
