datetime,consumption
0,1638000.0
1,1638000.0
2,1638000.0
3,1638000.0
4,1638000.0
5,1638000.0
6,1638000.0
7,1638000.0
8,1638000.0
9,1638000.0
10,1638000.0
11,1638000.0
12,1638000.0
13,1638000.0
14,1638000.0
15,1638000.0
16,1638000.0
17,1638000.0
18,1638000.0
19,1638000.0
20,1638000.0
21,1638000.0
22,1638000.0
23,1638000.0
24,1638000.0
25,1638000.0
26,1638000.0
27,1638000.0
28,1638000.0
29,1638000.0
30,1638000.0
31,1638000.0
32,1638000.0
33,1638000.0
34,1638000.0
35,1638000.0
36,1638000.0
37,1638000.0
38,1638000.0
39,1638000.0
40,1638000.0
41,1638000.0
42,1638000.0
43,1638000.0
44,1638000.0
45,1638000.0
46,1638000.0
47,1638000.0
48,1638000.0
49,1638000.0
50,1638000.0
51,1638000.0
52,1638000.0
53,1638000.0
54,1638000.0
55,1638000.0
56,1638000.0
57,1638000.0
58,1638000.0
59,1638000.0
60,1638000.0
61,1638000.0
62,1638000.0
63,1638000.0
64,1638000.0
65,1638000.0
66,1638000.0
67,1638000.0
68,1638000.0
69,1638000.0
70,1638000.0
71,1638000.0
72,1638000.0
73,1638000.0
74,1638000.0
75,1638000.0
76,1638000.0
77,1638000.0
78,1638000.0
79,1638000.0
80,1638000.0
81,1638000.0
82,1638000.0
83,1638000.0
84,1638000.0
85,1638000.0
86,1638000.0
87,1638000.0
88,1638000.0
89,1638000.0
90,1638000.0
91,1638000.0
92,1638000.0
93,1638000.0
94,1638000.0
95,1638000.0
96,1638000.0
97,1638000.0
98,1671000.0
99,1671000.0
100,1671000.0
101,1671000.0
102,1671000.0
103,1671000.0
104,1671000.0
105,1671000.0
106,1671000.0
107,1671000.0
108,1671000.0
109,1671000.0
110,1671000.0
111,1671000.0
112,1671000.0
113,1671000.0
114,1671000.0
115,1671000.0
116,1671000.0
117,1671000.0
118,1671000.0
119,1671000.0
120,1638000.0
121,1638000.0
122,1638000.0
123,1638000.0
124,1638000.0
125,1638000.0
126,1638000.0
127,1638000.0
128,1638000.0
129,1638000.0
130,1638000.0
131,1638000.0
132,1638000.0
133,1638000.0
134,1638000.0
135,1638000.0
136,1638000.0
137,1638000.0
138,1638000.0
139,1638000.0
140,1638000.0
141,1638000.0
142,1638000.0
143,1638000.0
144,1638000.0
145,1638000.0
146,1638000.0
147,1638000.0
148,1638000.0
149,1638000.0
150,1638000.0
151,1638000.0
152,1638000.0
153,1638000.0
154,1638000.0
155,1638000.0
156,1638000.0
157,1638000.0
158,1638000.0
159,1638000.0
160,1638000.0
161,1638000.0
162,1638000.0
163,1638000.0
164,1638000.0
165,1638000.0
166,1638000.0
167,1638000.0
