datetime,consumption
0,9651338.253131751
1,8815438.937217232
2,8868294.81870383
3,8743791.952924283
4,8743011.812310457
5,8745099.650824303
6,8739455.001644947
7,8734909.629755793
8,8739707.15217689
9,8990939.349367253
10,12018712.880782828
11,11156828.399048898
12,11128477.067820337
13,11934375.38932943
14,9087404.342255808
15,11263773.165486548
16,11170094.485863281
17,11319472.317468518
18,11307680.435838658
19,9881997.541087905
20,11160851.372539764
21,10688298.482721044
22,10366326.439448358
23,9144726.802023828
24,9752681.90553389
25,8865172.909231309
26,8921860.213374749
27,8767432.247142134
28,8767396.107655257
29,8778803.086853905
30,8746954.813075302
31,8753778.235461032
32,8749388.289878735
33,9017185.362095835
34,12095682.086880706
35,11112560.07351903
36,11061298.019556
37,11848590.132890476
38,9086721.358489236
39,11098362.273329476
40,11296082.416072253
41,11314152.256411415
42,11360271.092240943
43,10125116.686015226
44,10536785.34057102
45,9926563.028299417
46,9744100.582355883
47,9163844.430724608
48,9644352.572889946
49,8818016.074244758
50,8835818.735098232
51,8740082.135295179
52,8767116.127185253
53,8774440.190273004
54,8756824.791097969
55,8763132.129579568
56,8767044.111912481
57,9028963.353161335
58,12249803.985586906
59,11365739.021451384
60,11290894.65791316
61,11942164.402091976
62,9092123.369432624
63,11227265.334155975
64,11301081.657497069
65,11401378.835975122
66,11284290.412893923
67,9773479.800526893
68,11187712.454094248
69,10730329.611151712
70,10393544.965091577
71,9146885.01051721
72,9710231.802619658
73,8850804.046329258
74,8873611.71975368
75,8772098.105764227
76,8774776.174811361
77,8781873.772728032
78,8762687.04136916
79,8784051.076144638
80,8773575.979201773
81,9043090.661010128
82,12115877.42746063
83,11022696.316769812
84,11011861.18244707
85,11722734.775453255
86,9081046.727953987
87,11170524.121040257
88,11283103.073658891
89,11278400.982434021
90,11304915.800402882
91,9784159.759992294
92,10974200.241343087
93,10548148.339506421
94,10303874.638792092
95,9136638.19240221
96,9738600.298726402
97,8862129.757568568
98,9159467.253056295
99,9056459.113898896
100,9027311.192889879
101,9024841.75031014
102,9032696.758420318
103,9013330.60076657
104,9021973.097660398
105,9269699.521851206
106,10592109.125154769
107,10125668.823677026
108,10254708.594033426
109,10701920.775926806
110,9364922.76777515
111,10184532.211121673
112,10307756.172309643
113,10471189.997381274
114,10246510.800482064
115,9508121.488494847
116,9977636.18230844
117,9350341.321676811
118,9322689.669435538
119,9319655.758464701
120,9539920.073449045
121,8749626.346352765
122,8765427.14537136
123,8719054.389400672
124,8744952.433788825
125,8750478.047520898
126,8744623.132488064
127,8713269.427622702
128,8714139.225845983
129,8968155.30699482
130,9438743.216715097
131,9457803.483901357
132,9475801.847483037
133,9681203.117492436
134,9083931.547117567
135,9413794.092048626
136,9400359.744772738
137,9442314.470839547
138,9354554.624279339
139,9164096.994547717
140,9659838.414946636
141,9023652.584386697
142,9034587.526710583
143,9000972.910496593
144,9419329.63701922
145,8645949.913343985
146,8679278.50061221
147,8695888.038654463
148,8712840.394513173
149,8714415.691704888
150,8709994.296736592
151,8712896.705721958
152,8713327.516312089
153,8967576.188286169
154,11981153.744525038
155,11330901.196398143
156,11155889.239341307
157,12023039.663600363
158,9089727.027008073
159,11373600.177485717
160,11293984.40372115
161,11390379.130971879
162,11339161.44282852
163,9868456.793261344
164,11193380.095676403
165,10637621.559087057
166,10409544.365074795
167,9118584.266662281
