datetime,consumption
0,8201512.089228236
1,8201512.089228236
2,8201512.089228236
3,8201512.089228236
4,8201512.089228236
5,8201512.089228236
6,8201512.089228236
7,8201512.089228236
8,8201512.089228236
9,8201512.089228236
10,8201512.089228236
11,8201512.089228236
12,8201512.089228236
13,8201512.089228236
14,8201512.089228236
15,8201512.089228236
16,8201512.089228236
17,8201512.089228236
18,8201512.089228236
19,8201512.089228236
20,8201512.089228236
21,8201512.089228236
22,8201512.089228236
23,8201512.089228236
24,8201512.089228236
25,8201512.089228236
26,8201512.089228236
27,8201512.089228236
28,8201512.089228236
29,8201512.089228236
30,8201512.089228236
31,8201512.089228236
32,8201512.089228236
33,8201512.089228236
34,8201512.089228236
35,8201512.089228236
36,8201512.089228236
37,8201512.089228236
38,8201512.089228236
39,8201512.089228236
40,8201512.089228236
41,8201512.089228236
42,8201512.089228236
43,8201512.089228236
44,8201512.089228236
45,8201512.089228236
46,8201512.089228236
47,8201512.089228236
48,8201512.089228236
49,8201512.089228236
50,8201512.089228236
51,8201512.089228236
52,8201512.089228236
53,8201512.089228236
54,8201512.089228236
55,8201512.089228236
56,8201512.089228236
57,8201512.089228236
58,8201512.089228236
59,8201512.089228236
60,8201512.089228236
61,8201512.089228236
62,8201512.089228236
63,8201512.089228236
64,8201512.089228236
65,8201512.089228236
66,8201512.089228236
67,8201512.089228236
68,8201512.089228236
69,8201512.089228236
70,8201512.089228236
71,8201512.089228236
72,8201512.089228236
73,8201512.089228236
74,8201512.089228236
75,8201512.089228236
76,8201512.089228236
77,8201512.089228236
78,8201512.089228236
79,8201512.089228236
80,8201512.089228236
81,8201512.089228236
82,8201512.089228236
83,8201512.089228236
84,8201512.089228236
85,8201512.089228236
86,8201512.089228236
87,8201512.089228236
88,8201512.089228236
89,8201512.089228236
90,8201512.089228236
91,8201512.089228236
92,8201512.089228236
93,8201512.089228236
94,8201512.089228236
95,8201512.089228236
96,8201512.089228236
97,8201512.089228236
98,8457594.131297253
99,8457594.131297253
100,8457594.131297253
101,8457594.131297253
102,8457594.131297253
103,8457594.131297253
104,8457594.131297253
105,8457594.131297253
106,8457594.131297253
107,8457594.131297253
108,8457594.131297253
109,8457594.131297253
110,8457594.131297253
111,8457594.131297253
112,8457594.131297253
113,8457594.131297253
114,8457594.131297253
115,8457594.131297253
116,8457594.131297253
117,8457594.131297253
118,8457594.131297253
119,8457594.131297253
120,8201512.089228236
121,8201512.089228236
122,8201512.089228236
123,8201512.089228236
124,8201512.089228236
125,8201512.089228236
126,8201512.089228236
127,8201512.089228236
128,8201512.089228236
129,8201512.089228236
130,8201512.089228236
131,8201512.089228236
132,8201512.089228236
133,8201512.089228236
134,8201512.089228236
135,8201512.089228236
136,8201512.089228236
137,8201512.089228236
138,8201512.089228236
139,8201512.089228236
140,8201512.089228236
141,8201512.089228236
142,8201512.089228236
143,8201512.089228236
144,8201512.089228236
145,8201512.089228236
146,8201512.089228236
147,8201512.089228236
148,8201512.089228236
149,8201512.089228236
150,8201512.089228236
151,8201512.089228236
152,8201512.089228236
153,8201512.089228236
154,8201512.089228236
155,8201512.089228236
156,8201512.089228236
157,8201512.089228236
158,8201512.089228236
159,8201512.089228236
160,8201512.089228236
161,8201512.089228236
162,8201512.089228236
163,8201512.089228236
164,8201512.089228236
165,8201512.089228236
166,8201512.089228236
167,8201512.089228236
